estado,api_codigo,api_descripcion,api_precio,api_disponible,shopify_id,shopify_titulo,shopify_sku
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005016613052,(YV) Crema Corporal Lubriderm Reparación Intensiva - Para Piel Extra Seca (120ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010839650492,(YV) Crema Corporal Lubriderm Reparación Intensiva para Piel Seca - 400ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004741001404,(YV) Crema Corporal NIVEA Milk Nutritiva - 48h de Humectación para Piel Extra Seca (400ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004859064508,(YV) Crema Corporal NIVEA Milk Nutritiva 1 Litro - Mega Ahorro Familiar para Piel Extra Seca,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010912985276,(YV) Crema Corporal para Bebé Personal Choice - Hipoalergénica y Humectante (650 ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010885787836,(YV) Crema Corporal Reafirmante Nivea Q10 + Vitamina C - Formato Gigante 1 Litro,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005028606140,(YV) Crema Corporal Reafirmante NIVEA Q10 con Vitamina C - Piel Normal (400ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010893390012,(YV) Crema de Coloración Profesional Nouvelle #1 Negro (1N) - 100g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010692260028,(YV) Crema Dental Blanqueadora Colgate Luminous White Brilliant - 125ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004764954812,(YV) Crema Dental Colgate Luminous White Brilliant - 1 Tono Más Blanco en 1 Semana (75ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012629078204,(YV) Crema Dental Colgate Luminous White Carbón Activado (75 ml) - Blanqueadora,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004873089212,(YV) Crema Dental Colgate Luminous White Carbón Activado - Blanqueadora (75ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010826510524,(YV) Crema Dental Colgate Total 12 Salud Bucal Completa - Clean Mint 150g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004759089340,(YV) Crema Dental Colgate Triple Acción - Protección Familiar Completa (150g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007286845628,(YV) Crema Dental Colgate Triple Acción Menta Original - 60ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004956418236,(YV) Crema Dental Sensodyne Rápido Alivio - Alivio en 60 Segundos (100g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004591349948,(YV) Crema Despigmentante Blankisima - Hidroquinona al 2% (32g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012427653308,(YV) Crema Despigmentante y Aclarante Piel de Oro (120 ml) - Para Rostro y Zonas Íntimas,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007175401660,(YV) Crema Facial Aclaradora Pond's Clarant B3 con SPF 30 - Anti-Manchas (100g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005020086460,(YV) Crema Facial Aclaradora Teatrical con Células Madre y Filtro UV (75ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010702713020,(YV) Crema Facial Antimanchas Pond's Clarant B3 para Piel Seca - 50g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012674199740,(YV) Crema Facial Tensora Kaba (50 ml) con Ácido Hialurónico y Vitamina C - Efecto Lifting,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007377842364,(YV) Crema Hidratante Nivea Creme - La Clásica Lata Azul (30ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005897351356,(YV) Crema Hidratante St. Ives Renovadora con Colágeno y Elastina (283g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007288254652,(YV) Crema Líquida Humectante Johnson's Baby Original - 400ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010847088828,(YV) Crema Líquida Johnson's® Baby - Aroma Clásico a Bebé (Rosada) 200ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005902299324,(YV) Crema Líquida JOHNSON'S® Baby Original - Hidratación 24h (Mega Botella 800ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010889556156,(YV) Crema NIVEA Creme Lata Azul - Hidratante Multiusos para Toda la Familia (400 ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004702990524,(YV) Crema N°4 Original Anti-Pañalitis - Protección y Alivio para tu Bebé (110g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012419002556,"(YV) Crema para Peinar Etniker Definidora de Rizos (290 gr) - con Coco, Karité y Monoi",
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9006031896764,(YV) Crema para Peinar JOHNSON'S® 'Hidratación Intensa' - Desenreda sin Lágrimas,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010861506748,(YV) Crema para Peinar La Poción TONGOLÉ - Definición de Rizos y Ondas 440ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007376072892,(YV) Crema para Peinar Sedal Rizos Definidos - 300ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004956876988,(YV) Crema Termo-Alisadora Herbacol 'Lisso Inteligente' - Liso Progresivo (Sachet 20ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8998941327548,(YV) Decolorante Alfaparf BB Bleach High Lift 9 Tonos - Sobre 50g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004612419772,(YV) Decolorante Profesional 'Intensity' 9 Tonos con Plex Integrado - 400g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012258373820,(YV) Decolorante Profesional Alfaparf BB Bleach Easy Lift 7 Tonos (400 g),
